,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,12.065114164352417,0.08721404075622559,0.50475,1.0,gini,1,2,95,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 95, 'criterion': 'gini'}",19,0.5086848635235732,1.0,0.5146235220908525,1.0,0.5106117353308365,1.0,0.4896421845574388,1.0,0.5,1.0,0.12385344853898074,0.0027014833520423885,0.0089165878696081,0.0
1,12.149182558059692,0.08616704940795898,0.505625,1.0,gini,1,2,96,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 96, 'criterion': 'gini'}",13,0.4968982630272953,1.0,0.522713130056005,1.0,0.5237203495630461,1.0,0.4839924670433145,1.0,0.5006305170239597,1.0,0.09371753201971834,0.0005068174588116796,0.015417558264535988,0.0
2,12.231426858901978,0.08759689331054688,0.503125,1.0,gini,1,2,97,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 97, 'criterion': 'gini'}",33,0.5186104218362283,1.0,0.5133789670192906,1.0,0.49563046192259674,1.0,0.49403640929064657,1.0,0.4936948297604035,1.0,0.0377570340841894,0.0012550204085553232,0.010712889588471474,0.0
3,12.319290924072266,0.08799443244934083,0.50325,1.0,gini,1,2,98,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 98, 'criterion': 'gini'}",30,0.5068238213399504,1.0,0.5314250155569384,1.0,0.5,1.0,0.485247959824231,1.0,0.49243379571248425,1.0,0.07069087069109495,0.0008892540190454075,0.0158705415626941,0.0
4,12.477268981933594,0.09016237258911133,0.5075,1.0,gini,1,2,99,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 99, 'criterion': 'gini'}",7,0.5148883374689827,1.0,0.522713130056005,1.0,0.5093632958801498,1.0,0.49403640929064657,1.0,0.4962168978562421,1.0,0.03585357908643836,0.0018973832544942172,0.01093247175335601,0.0
5,12.669199657440185,0.09110350608825683,0.51025,1.0,gini,1,2,100,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'criterion': 'gini'}",1,0.511166253101737,1.0,0.5295581829495956,1.0,0.5124843945068664,1.0,0.4965473948524796,1.0,0.5012610340479193,1.0,0.11473176337497062,0.0008291309225682347,0.01137818929180728,0.0
6,11.805064296722412,0.08389129638671874,0.509,0.9998748386065704,gini,1,3,95,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 95, 'criterion': 'gini'}",4,0.5173697270471465,0.9996869129618033,0.5276913503422527,0.9998435789144376,0.4993757802746567,0.9998437011566115,0.4934086629001883,1.0,0.5069356872635561,1.0,0.06038880017532018,0.000590043598155574,0.01233259536108899,0.00011712685935665793
7,11.862886905670166,0.08438210487365723,0.506125,0.9999687157828875,gini,1,3,96,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 96, 'criterion': 'gini'}",9,0.5173697270471465,1.0,0.5295581829495956,0.9998435789144376,0.5093632958801498,1.0,0.4821092278719397,1.0,0.4918032786885246,1.0,0.036783039642670656,0.00186763801056366,0.017128685254300162,6.256843422494108e-05
8,11.995763349533082,0.08475422859191895,0.5055,0.9999374315275027,gini,1,3,97,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 97, 'criterion': 'gini'}",14,0.5124069478908189,0.9998434564809017,0.5084007467330429,1.0,0.50187265917603,0.9998437011566115,0.49466415568110483,1.0,0.5100882723833543,1.0,0.04623571562859075,0.0012094633357783928,0.00644140950302052,7.66304548635962e-05
9,12.093291997909546,0.08725318908691407,0.507875,0.9998749998504636,gini,1,3,98,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 98, 'criterion': 'gini'}",5,0.5142679900744417,1.0,0.5183571873055383,0.9996871578288753,0.5168539325842697,1.0,0.4965473948524796,0.9996878414234431,0.4930643127364439,1.0,0.061662272899917256,0.0010135706268605807,0.0107465916992976,0.0001530934446875653
10,12.132103157043456,0.08704428672790528,0.503,1.0,gini,1,3,99,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 99, 'criterion': 'gini'}",35,0.5012406947890818,1.0,0.5252022401991289,1.0,0.5056179775280899,1.0,0.48650345260514755,1.0,0.4962168978562421,1.0,0.05239919060966107,0.001421682973348924,0.012818971766719279,0.0
11,12.449179935455323,0.09023594856262207,0.504375,0.9999375243736666,gini,1,3,100,"{'min_samples_split': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'criterion': 'gini'}",20,0.5055831265508685,1.0,0.5332918481642813,1.0,0.5056179775280899,0.9998437011566115,0.487758945386064,0.9998439207117216,0.489281210592686,1.0,0.10181678646665486,0.0022919846181436335,0.016392524204632768,7.651673443808855e-05
12,11.706347227096558,0.08602948188781738,0.500875,0.9997811811904024,gini,1,4,95,"{'min_samples_split': 4, 'min_samples_leaf': 1, 'n_estimators': 95, 'criterion': 'gini'}",58,0.5086848635235732,0.9996869129618033,0.5208462974486621,0.9998435789144376,0.5074906367041199,0.9996874023132228,0.4821092278719397,0.9998439207117216,0.4848675914249685,0.9998440910508263,0.06371194392086907,0.0009699944067909666,0.014902879360043633,7.677024262948806e-05
