,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,8.097173309326172,0.06777453232260736,0.0693115234375,0.0012861919831238576,gini,1,2,80,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",0.4869727047146402,0.5102675793403858,0.4937578027465668,0.4858757062146893,0.49243379571248425,0.493875,0.008759825157094553,82,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,8.466378116607666,0.18997522436707712,0.07147722244262696,0.0008958132387571757,gini,1,2,81,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 81}",0.5117866004962779,0.5152457996266335,0.5006242197253433,0.4952919020715631,0.48612862547288777,0.501875,0.010667987708952489,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,8.719560480117797,0.026808985777992657,0.07291808128356933,0.00045739764242382433,gini,1,2,82,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 82}",0.5136476426799007,0.5332918481642813,0.49875156054931336,0.4839924670433145,0.5025220680958385,0.5065,0.016447413388687736,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,8.875974321365357,0.02387060525165535,0.07372927665710449,0.0010050970841668171,gini,1,2,83,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 83}",0.4987593052109181,0.5189794648413192,0.5006242197253433,0.4795982423101067,0.4880201765447667,0.49725,0.013286050285613029,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,9.156821393966675,0.09405769078860098,0.07601542472839355,0.00035147826394037787,gini,1,2,84,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 84}",0.510545905707196,0.5196017423771002,0.5049937578027466,0.47834274952919015,0.4766708701134931,0.498125,0.017388621607845538,49,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,9.295591068267822,0.06223335030586131,0.07716312408447265,0.001246256059474338,gini,1,2,85,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 85}",0.5049627791563276,0.5065339141257,0.5106117353308365,0.4908976773383553,0.4911727616645649,0.500875,0.008201736458554302,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,9.452843809127808,0.045868196693403585,0.07718930244445801,0.00042580459832594836,gini,1,2,86,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 86}",0.500620347394541,0.5270690728064716,0.5093632958801498,0.47834274952919015,0.48738965952080704,0.500625,0.01701040638662516,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,9.453899621963501,0.05289612217275239,0.07736349105834961,0.0009572592113767421,gini,1,2,87,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 87}",0.5093052109181141,0.5164903546981954,0.50187265917603,0.5009416195856874,0.49936948297604034,0.505625,0.006433394197510261,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,9.668694019317627,0.042203468638896555,0.07878599166870118,0.0006311739048427447,gini,1,2,88,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 88}",0.5024813895781638,0.5189794648413192,0.49875156054931336,0.4839924670433145,0.5044136191677175,0.50175,0.011213181637272746,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,9.744817447662353,0.020841920055001212,0.08046574592590332,0.0016556119819323945,gini,1,2,89,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 89}",0.49627791563275436,0.5214685749844431,0.5068664169787765,0.480225988700565,0.489281210592686,0.498875,0.014289439744921096,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,9.89386706352234,0.09601027961261245,0.08072371482849121,0.0007928668031119116,gini,1,2,90,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 90}",0.5093052109181141,0.5046670815183572,0.4975031210986267,0.4952919020715631,0.4911727616645649,0.499625,0.006541558127887521,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,10.022143125534058,0.03677514982612953,0.08219070434570312,0.0016029204982802448,gini,1,2,91,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 91}",0.511166253101737,0.523335407591786,0.4968789013732834,0.487758945386064,0.48675914249684743,0.50125,0.014124156639401439,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,10.163391876220704,0.042812837992329926,0.08214449882507324,0.0009702738104087792,gini,1,2,92,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 92}",0.510545905707196,0.5158680771624145,0.4950062421972534,0.5028248587570622,0.48865069356872637,0.502625,0.00991047934799056,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,10.279200458526612,0.042413901021847854,0.08681421279907227,0.005670403998134886,gini,1,2,93,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 93}",0.5024813895781638,0.5214685749844431,0.5056179775280899,0.48713119899560575,0.4911727616645649,0.501625,0.012080045272653817,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
