,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2889185905456543,0.009317693919889696,12.031816387176514,0.004436567421514741,4,1,uniform,"{'n_jobs': 4, 'n_neighbors': 1, 'weights': 'uniform'}",0.46774193548387094,0.4729309271935283,0.46878901373283394,0.46641556811048335,0.4552332912988651,0.46625,0.0058967868278861114,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.2835395336151123,0.0063221377323314995,11.92965488433838,0.08943773437735841,4,1,distance,"{'n_jobs': 4, 'n_neighbors': 1, 'weights': 'distance'}",0.46774193548387094,0.4729309271935283,0.46878901373283394,0.46641556811048335,0.4552332912988651,0.46625,0.0058967868278861114,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.2817689418792725,0.0020141712056564926,12.013738679885865,0.07553111684335274,4,6,uniform,"{'n_jobs': 4, 'n_neighbors': 6, 'weights': 'uniform'}",0.4882133995037221,0.4984443061605476,0.50187265917603,0.48650345260514755,0.4987389659520807,0.49475,0.006181125086110608,7,0.6192861615529117,0.6211481307680276,0.6234760862769616,0.6215077259247698,0.6155285313376988,0.6201893271720739,0.0026832439682463005
3,0.2825636386871338,0.001877208478900385,11.931957483291626,0.08947611094378759,4,6,distance,"{'n_jobs': 4, 'n_neighbors': 6, 'weights': 'distance'}",0.5142679900744417,0.5196017423771002,0.5087390761548065,0.5021971123666039,0.5081967213114754,0.510625,0.005906437093231413,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.286220645904541,0.002540377237235262,12.003925085067749,0.040817102681504576,4,11,uniform,"{'n_jobs': 4, 'n_neighbors': 11, 'weights': 'uniform'}",0.4944168734491315,0.5133789670192906,0.5006242197253433,0.4795982423101067,0.4918032786885246,0.496,0.011068732151700018,6,0.5751408891671885,0.5795401220084467,0.5814316974054392,0.5757764944591852,0.5763953850951045,0.5776569176270728,0.002418812764464433
5,0.2825592517852783,0.0021058131179850234,12.05363564491272,0.040048155238019446,4,11,distance,"{'n_jobs': 4, 'n_neighbors': 11, 'weights': 'distance'}",0.5055831265508685,0.5189794648413192,0.5112359550561798,0.49278091650973005,0.5044136191677175,0.506625,0.008617995720739067,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.28653297424316404,0.005084368956682344,11.985348892211913,0.08747400580695992,4,16,uniform,"{'n_jobs': 4, 'n_neighbors': 16, 'weights': 'uniform'}",0.4882133995037221,0.5189794648413192,0.50187265917603,0.4795982423101067,0.4930643127364439,0.496375,0.013428801833364784,5,0.5552598622417032,0.5551384326607227,0.5582994685839325,0.5551740284064305,0.5578422201434362,0.5563428024072451,0.0014188794612693205
7,0.2877478122711182,0.0009421908099119906,11.999859142303468,0.09696910383877372,4,16,distance,"{'n_jobs': 4, 'n_neighbors': 16, 'weights': 'distance'}",0.5037220843672456,0.5183571873055383,0.5137328339575531,0.4915254237288136,0.5006305170239597,0.505625,0.009538764172234237,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.2853817939758301,0.0031091068503055555,12.056367301940918,0.07658442252255601,4,21,uniform,"{'n_jobs': 4, 'n_neighbors': 21, 'weights': 'uniform'}",0.49007444168734493,0.5115121344119478,0.4918851435705368,0.4726930320150659,0.4848675914249685,0.49025,0.012588722464729727,9,0.5350657482780213,0.5377756921633036,0.5406376992810253,0.5353519587950679,0.5402245088868101,0.5378111214808456,0.0023409310628972045
9,0.29153666496276853,0.012425956286783666,12.06922264099121,0.0767392559016174,4,21,distance,"{'n_jobs': 4, 'n_neighbors': 21, 'weights': 'distance'}",0.4993796526054591,0.5196017423771002,0.5049937578027466,0.4858757062146893,0.4968474148802018,0.501375,0.011047962654170974,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.2849418163299561,0.0022035882882454404,12.033800506591797,0.06368845065512578,4,26,uniform,"{'n_jobs': 4, 'n_neighbors': 26, 'weights': 'uniform'}",0.4813895781637717,0.5021779713752333,0.48252184769038703,0.47394852479598243,0.4817150063051702,0.484375,0.00944457422072404,11,0.5230118973074515,0.5211950570936962,0.5217255392310097,0.5223973778679569,0.5293108824446523,0.5235281507889533,0.0029556009567438227
11,0.28381853103637694,0.0035016251229300142,12.059965467453003,0.03951062088771901,4,26,distance,"{'n_jobs': 4, 'n_neighbors': 26, 'weights': 'distance'}",0.4913151364764268,0.5108898568761667,0.49313358302122345,0.480225988700565,0.4905422446406053,0.49325,0.009924331575429941,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.28540654182434083,0.0031541700279871664,12.057846879959106,0.09902124190509998,4,31,uniform,"{'n_jobs': 4, 'n_neighbors': 31, 'weights': 'uniform'}",0.47208436724565755,0.49782202862476665,0.4762796504369538,0.46327683615819204,0.47414880201765447,0.47675,0.011450457737446644,14,0.5142454602379462,0.5114969497888315,0.5165676773991873,0.5139690963009209,0.513252260679763,0.5139062888813297,0.0016391850765043838
13,0.28547821044921873,0.003954836974088247,11.960812759399413,0.13644407896327848,4,31,distance,"{'n_jobs': 4, 'n_neighbors': 31, 'weights': 'distance'}",0.4851116625310174,0.5065339141257,0.48314606741573035,0.4726930320150659,0.4817150063051702,0.485875,0.011196959977184706,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
