,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,4.775709581375122,0.005176973342895508,0.240125,1.0,gini,1,2,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2}",162,0.25372208436724564,1.0,0.24891101431238333,1.0,0.23845193508114856,1.0,0.23540489642184556,1.0,0.2238335435056747,1.0,0.06947644439827093,0.0003474929778426491,0.010505930080567263,0.0
1,4.711445617675781,0.004892921447753907,0.24525,0.8850301882118409,gini,1,4,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 4}",159,0.25,0.8854101440200376,0.25140012445550713,0.8831534490849366,0.25031210986267166,0.8851203501094091,0.2335216572504708,0.8841891680973935,0.2408575031525851,0.8872778297474276,0.06457634923628207,5.864061869006662e-05,0.006963557248444252,0.0013735976586911284
2,4.643962001800537,0.004889249801635742,0.2485,0.8269360794333821,gini,1,6,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 6}",151,0.25496277915632753,0.8278021289918598,0.24704418170504044,0.8251212263413108,0.24531835205992508,0.8249452954048141,0.2448210922787194,0.8272202278757609,0.25031525851197983,0.8295915185531649,0.0745047822643295,6.943066689276862e-05,0.0037705826416283943,0.001740060452290145
3,4.591122102737427,0.004928064346313476,0.24825,0.7858104741766494,gini,1,8,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 8}",152,0.25496277915632753,0.787413901064496,0.2520224019912881,0.782574691068356,0.24968789013732834,0.7829009065332916,0.24419334588826114,0.786951771499922,0.24022698612862547,0.7892111007171811,0.01892481947391094,7.170993568633776e-05,0.005328277866646173,0.0026219715646108575
4,4.515939331054687,0.004933977127075195,0.245375,0.7510313513838109,gini,1,10,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 10}",158,0.26054590570719605,0.7550093926111459,0.25015556938394523,0.7487877365868919,0.24406991260923847,0.7480462644576431,0.24356559949780288,0.7502731387544873,0.22824716267339218,0.7530402245088867,0.029362563503593536,4.5370147273021395e-05,0.01049378156633754,0.002622205977570265
5,4.4146661281585695,0.00486912727355957,0.252375,0.7206253311851575,gini,1,12,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 12}",135,0.25992555831265507,0.7230745147150908,0.2582451773490977,0.7184420459877991,0.25280898876404495,0.7203813691778682,0.24733207784055242,0.7201498361167473,0.24337957124842372,0.721078889928282,0.039806694339454274,3.814655542145481e-05,0.006289138985042296,0.0015004374542677956
6,4.3714910507202145,0.004825401306152344,0.254375,0.693154911931196,gini,1,14,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 14}",126,0.26240694789081886,0.6955228553537883,0.2551337896701929,0.6885656186453935,0.2565543071161049,0.6922475773679275,0.25486503452605147,0.6940845949742469,0.24274905422446405,0.6953539133146243,0.04872174901941023,6.375339553651355e-05,0.0063960714633098485,0.0025765070374547012
7,4.29074649810791,0.004914522171020508,0.25225,0.6644048904602144,gini,1,16,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 16}",136,0.2655086848635236,0.6682842830306825,0.25326695706285,0.6577506647896136,0.25218476903870163,0.6645826820881525,0.2448210922787194,0.6633369751833932,0.24527112232030265,0.6680698472092298,0.039266448694651734,4.5416580359141624e-05,0.007501732375773302,0.003845318370815923
8,4.246856164932251,0.004952907562255859,0.253375,0.6427483683890985,gini,1,18,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 18}",131,0.2673697270471464,0.646211646837821,0.25140012445550713,0.6360081338964493,0.2546816479400749,0.6422319474835886,0.24544883866917766,0.6438270641485875,0.24779319041614123,0.6454630495790459,0.04145960587699282,0.00016893446169444635,0.0076991050623393875,0.0036393633422763657
9,4.535653114318848,0.004971218109130859,0.240625,0.8476879785732019,gini,2,2,"{'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 2}",161,0.24317617866004962,0.8500313087038197,0.24393279402613569,0.8467073361489129,0.2390761548064919,0.846201938105658,0.23477715003138733,0.8475105353519587,0.2421185372005044,0.8479887745556596,0.04601487655062441,8.512730609132308e-05,0.003352834260062221,0.0013253781540664162
10,4.543724775314331,0.004874229431152344,0.242625,0.8476564455002903,gini,2,4,"{'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 4}",160,0.25620347394540943,0.8501878522229178,0.24206596141879277,0.8452995463788519,0.25031210986267166,0.8472960300093779,0.2310106716886378,0.8470422974871235,0.23329129886506936,0.8484565014031805,0.040809495973627714,9.399172834762627e-05,0.00965293056401909,0.001619268972093086
11,4.511757230758667,0.00489349365234375,0.248125,0.8079358775344255,gini,2,6,"{'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 6}",153,0.26116625310173697,0.8094865372573575,0.23957685127566894,0.8047864852182074,0.24656679151061173,0.8057205376680212,0.24356559949780288,0.8092711097237397,0.24968474148802017,0.810414717804802,0.056208139871429495,6.367899151344312e-05,0.007352280072016406,0.0022431425432583914
