,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_jobs,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.23875560760498046,11.78716344833374,0.466,1.0,4,1,"{'n_neighbors': 1, 'n_jobs': 4}",1,0.4683622828784119,1.0,0.4723086496577474,1.0,0.4675405742821473,1.0,0.46641556811048335,1.0,0.4552332912988651,1.0,0.0026576290115085275,0.06289241505587087,0.005710540961998422,0.0
1,0.24050683975219728,11.911752080917358,0.42725,0.44071602374671376,4,101,"{'n_neighbors': 101, 'n_jobs': 4}",2,0.43982630272952855,0.4373825923606763,0.4405724953329185,0.43907398717347096,0.4282147315855181,0.4418568302594561,0.406151914626491,0.4429530201342282,0.42118537200504413,0.44231368880573746,0.005787455704802436,0.0822826171155462,0.01279207988032304,0.002129139492441957
2,0.24022116661071777,11.972252750396729,0.382875,0.3911215220969556,4,201,"{'n_neighbors': 201, 'n_jobs': 4}",3,0.3988833746898263,0.3858797745773325,0.39203484754200374,0.39042702956358516,0.3751560549313358,0.3932478899656143,0.36472065285624605,0.39191509286717646,0.38335435056746525,0.3941378235110695,0.002287093697895547,0.07622643835265645,0.01208704029762553,0.0029054261663095326
3,0.2407917022705078,12.0308180809021,0.347875,0.35727865993963037,4,301,"{'n_neighbors': 301, 'n_jobs': 4}",4,0.3560794044665012,0.3523794614902943,0.35718730553827005,0.35789144376661974,0.33957553058676654,0.35823694904657705,0.3370998116760829,0.3596066801935383,0.3493064312736444,0.35827876520112256,0.0013325654708691065,0.068032149721315,0.008264509797888928,0.002518565318341345
4,0.23778748512268066,12.091262245178223,0.32175,0.32949822703717996,4,401,"{'n_neighbors': 401, 'n_jobs': 4}",5,0.3232009925558313,0.32780212899185973,0.33229620410703176,0.32910996402315035,0.3139825218476904,0.3296342607064708,0.3145009416195857,0.32854690182612767,0.32471626733921816,0.33239787963829126,0.0019390930270936004,0.0637636653633788,0.006859737925397398,0.00157219634720975
5,0.2409534454345703,12.120066499710083,0.301625,0.30437363690737734,4,501,"{'n_neighbors': 501, 'n_jobs': 4}",6,0.29838709677419356,0.30463368816530995,0.31549471064094586,0.3017362740497419,0.2990012484394507,0.30462644576430137,0.2900188323917137,0.3045106914312471,0.3051702395964691,0.30636108512628624,0.002637603989072709,0.08162489074766134,0.008452672473146633,0.0014870074769875118
6,0.2374283790588379,12.122862577438354,0.28125,0.2838112309963336,4,601,"{'n_neighbors': 601, 'n_jobs': 4}",7,0.27729528535980147,0.28099561678146523,0.2906036092097075,0.2823400594400125,0.2784019975031211,0.28821506720850265,0.2780916509730069,0.28281567036054317,0.2818411097099622,0.2846897411911444,0.002940817430709168,0.05614705669139199,0.004940222218582883,0.0024999489467039293
7,0.2354572296142578,12.169368314743043,0.26425,0.26762378465415304,4,701,"{'n_neighbors': 701, 'n_jobs': 4}",8,0.2661290322580645,0.265184721352536,0.2700684505289359,0.2668543719693415,0.2590511860174782,0.2705532979055955,0.2617702448210923,0.26673950366786325,0.26418663303909207,0.2687870283754287,0.0035636330425968653,0.09150546258261669,0.0037615804407247593,0.0018578569577350078
8,0.24017443656921386,12.331531190872193,0.245625,0.2495919073415919,4,801,"{'n_neighbors': 801, 'n_jobs': 4}",9,0.24689826302729528,0.2482780212899186,0.25140012445550713,0.24777099953073675,0.24282147315855182,0.25132854016880274,0.23917137476459507,0.2475417512096145,0.24779319041614123,0.2530402245088868,0.0016595747837500484,0.0534121927394728,0.004222035090144755,0.002197813770122779
9,0.24041194915771485,12.33841404914856,0.230125,0.233996581318718,4,901,"{'n_neighbors': 901, 'n_jobs': 4}",10,0.23014888337468983,0.23231058234189106,0.23397635345364032,0.23009541686219304,0.22596754057428214,0.2347608627696155,0.2278719397363465,0.2345871702825035,0.23266078184110972,0.23822887433738696,0.0011648867139960697,0.07633647319743146,0.002954063771571565,0.0027168696075785615
