,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,65.58190369606018,0.017698907852172853,0.288,0.8234089286528146,1,{'C': 1},6,0.26240694789081886,0.802598622417032,0.31300560049782206,0.8381041764429844,0.2915106117353308,0.8261956861519225,0.2937853107344633,0.8624941470266896,0.2793190416141236,0.7876520112254444,0.6279967284287272,0.008790081122380786,0.0167827014638806,0.026317281811925965
1,65.54120359420776,0.012207365036010743,0.290875,0.8162108141295518,11,{'C': 11},5,0.293424317617866,0.8246712586098935,0.3042937149968886,0.8121382762396371,0.2784019975031211,0.7860268834010629,0.2849968612680477,0.829717496488216,0.2931904161412358,0.8285001559089492,0.7693448703275778,7.746653678218877e-05,0.008750809066091225,0.016326008389074463
2,66.04373450279236,0.012285518646240234,0.261375,0.7308233336481262,21,{'C': 21},10,0.26240694789081886,0.76111458985598,0.25015556938394523,0.6805881432817144,0.2421972534332085,0.6391059706158174,0.2580037664783427,0.7424691743405649,0.2944514501891551,0.8308387901465544,0.8968461061251801,0.0001721607600317711,0.017841182847493465,0.06632032324924607
3,66.69282488822937,0.012969064712524413,0.293125,0.8245417882876815,31,{'C': 31},2,0.2698511166253102,0.8190356919223544,0.30056004978220285,0.7889879555764118,0.28901373283395754,0.8318224445139106,0.29441305712492155,0.8403308880911503,0.3121059268600252,0.8425319613345806,0.5572329310882204,0.0012508464590092537,0.013978244999985399,0.019597663491299294
4,67.11523513793945,0.013273143768310547,0.283375,0.8187600410963626,41,{'C': 41},7,0.2834987593052109,0.8479962429555417,0.2874922215308027,0.779759111528234,0.284019975031211,0.8277586745858081,0.2837413684871312,0.852505072576869,0.2780580075662043,0.7857811038353602,0.6667107560758485,0.001209594423582711,0.0030204072944026465,0.03060438159313686
5,66.78604645729065,0.012098741531372071,0.291125,0.829769695260928,51,{'C': 51},4,0.28225806451612906,0.8317157169693175,0.3042937149968886,0.802753011105897,0.2902621722846442,0.8301031572366364,0.28562460765850595,0.8500078039644139,0.2931904161412358,0.8342687870283754,1.2653562764353272,9.129139236482351e-05,0.007595813739913406,0.015255309179020213
6,66.66386971473693,0.01215968132019043,0.281375,0.8006386166754995,61,{'C': 61},8,0.2760545905707196,0.8271759549154665,0.30367143746110764,0.8351321758173001,0.27340823970037453,0.7708658955923726,0.2573760200878845,0.7288902762603402,0.296343001261034,0.8411287807920175,0.8638899440342291,0.00016340177646475746,0.0166546431306462,0.04374409355864429
7,66.8299207687378,0.013322687149047852,0.28125,0.8190502476950152,71,{'C': 71},9,0.25806451612903225,0.8032247964934252,0.28873677660236463,0.7810104802127327,0.2940074906367041,0.8640200062519537,0.2849968612680477,0.833151240830342,0.28058007566204285,0.8138447146866231,1.1152556081956966,0.0012345688233316025,0.012452107393755676,0.028091577320660963
8,68.22452216148376,0.012638425827026368,0.292125,0.8188556158548879,81,{'C': 81},3,0.29156327543424315,0.8503443957420163,0.30056004978220285,0.8025965900203348,0.2908863920099875,0.8146295717411691,0.2862523540489642,0.8145778055252068,0.29129886506935687,0.8121297162457125,0.7916163530391044,0.0005359640876586345,0.004654652026776766,0.01635417998854858
9,69.99747943878174,0.01335444450378418,0.294,0.8308115704073626,91,{'C': 91},1,0.2890818858560794,0.8445522855353789,0.3123833229620411,0.8252776474268732,0.284019975031211,0.8211941231634886,0.27432517263025735,0.8141095676603715,0.31021437578814626,0.8489242282507016,0.9102747465269065,0.0007867202099280752,0.01489651344387782,0.013556932670647533
