,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,45.70151138305664,0.4397510799100623,0.014274311065673829,0.001819755143096327,1,{'C': 1},0.27853598014888337,0.3148724331051649,0.2933832709113608,0.2862523540489642,0.30012610340479196,0.294625,0.012440946675244884,2,0.8010331872260489,0.8122946973251994,0.8494842138168177,0.8328390822537849,0.8465855940130963,0.8284473549269895,0.018990931290193223
1,45.90876636505127,0.45208581644577456,0.01316537857055664,0.00011403813609548023,11,{'C': 11},0.27481389578163773,0.3074051026757934,0.30586766541822724,0.2950408035153798,0.2793190416141236,0.2925,0.013385373058510702,4,0.8184095178459612,0.8273111215391835,0.8408877774304471,0.855626658342438,0.7879638291237917,0.8260397808563642,0.02282744682491156
2,46.00469841957092,0.49891420768397443,0.013433361053466797,0.0004912486840682087,21,{'C': 21},0.27543424317617865,0.3042937149968886,0.2833957553058677,0.28750784682988073,0.29823455233291296,0.28975,0.010350969846583177,7,0.8011897307451471,0.8235570154856874,0.799781181619256,0.8376775401904167,0.8171188026192704,0.8158648541319554,0.014216742060679653
3,46.03420667648315,0.4666969128061974,0.013544702529907226,0.0008820156641407336,31,{'C': 31},0.28846153846153844,0.3098942128189172,0.28901373283395754,0.29252981795354677,0.29129886506935687,0.29425,0.007982500383293007,3,0.8190356919223544,0.797121852025653,0.8110346983432324,0.8656157327922585,0.79763018397256,0.8180876318112116,0.025169958940889657
4,46.04929342269897,0.46519899384864116,0.01319589614868164,0.00030155121563749164,41,{'C': 41},0.2834987593052109,0.3055382700684505,0.2940074906367041,0.28688010043942247,0.2843631778058008,0.290875,0.008228196849936587,5,0.8309329993738259,0.8368528077584858,0.7949359174742106,0.8370532230373029,0.7435297786092921,0.8086609452506235,0.03613140517602165
5,46.09639940261841,0.4418430198947968,0.013156318664550781,0.0003003323779181974,51,{'C': 51},0.27791563275434245,0.3030491599253267,0.29463171036204744,0.29127432517263024,0.24905422446406053,0.28325,0.018843159209213867,10,0.8268628678772699,0.8260597528546848,0.8347921225382934,0.8479787732167942,0.6219207982538197,0.7915228629481723,0.08516580498196037
6,46.09703969955444,0.5100710815591153,0.01332998275756836,7.275650675617563e-05,61,{'C': 61},0.28225806451612906,0.3092719352831363,0.2615480649188514,0.290646578782172,0.2944514501891551,0.287625,0.015721317557846677,8,0.8439261114589856,0.8234005944001251,0.7025633010315724,0.8292492586233807,0.7683193015279077,0.7934917134083944,0.052188884268501164
7,46.13613657951355,0.4159480187617565,0.013421010971069337,0.0002969349790556299,71,{'C': 71},0.27419354838709675,0.29744866210329807,0.27965043695380776,0.2806026365348399,0.30580075662042877,0.2875,0.01199036133609259,9,0.8221665623043206,0.7760050054747379,0.7979055954985933,0.8276884657405962,0.80059245400686,0.8048716166050216,0.018546383323769615
8,46.08390655517578,0.36269246974873276,0.013253307342529297,0.0002700969403497484,81,{'C': 81},0.293424317617866,0.30491599253266954,0.2908863920099875,0.2642812303829253,0.296343001261034,0.29,0.01367116415493961,6,0.8429868503443958,0.8260597528546848,0.8268208815254767,0.7828937100046823,0.8328656064858123,0.8223253602430104,0.020625248625728714
9,45.75434398651123,0.7586331020299,0.013131284713745117,0.00019677687024007484,91,{'C': 91},0.293424317617866,0.3092719352831363,0.2983770287141074,0.27181418706842436,0.3121059268600252,0.297,0.01430930899210764,1,0.8396994364433312,0.8071328015016425,0.8127539856205064,0.8334633994068987,0.8302151543498597,0.8246529554644477,0.012517985836222052
